Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,1996 October,Domestic,Million Litres,335.7
Intake of Cows Milk by Creameries and Pasteurisers,1996 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1996 November,Domestic,Million Litres,188.6
Intake of Cows Milk by Creameries and Pasteurisers,1996 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1996 December,Domestic,Million Litres,128.6
Intake of Cows Milk by Creameries and Pasteurisers,1996 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 January,Domestic,Million Litres,127.6
Intake of Cows Milk by Creameries and Pasteurisers,1997 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 February,Domestic,Million Litres,197.5
Intake of Cows Milk by Creameries and Pasteurisers,1997 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 March,Domestic,Million Litres,384.1
Intake of Cows Milk by Creameries and Pasteurisers,1997 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 April,Domestic,Million Litres,640.3
Intake of Cows Milk by Creameries and Pasteurisers,1997 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 May,Domestic,Million Litres,726.3
Intake of Cows Milk by Creameries and Pasteurisers,1997 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 June,Domestic,Million Litres,674.4
Intake of Cows Milk by Creameries and Pasteurisers,1997 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 July,Domestic,Million Litres,660.7
Intake of Cows Milk by Creameries and Pasteurisers,1997 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 August,Domestic,Million Litres,559.6
Intake of Cows Milk by Creameries and Pasteurisers,1997 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 September,Domestic,Million Litres,447.8
Intake of Cows Milk by Creameries and Pasteurisers,1997 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 October,Domestic,Million Litres,357.5
Intake of Cows Milk by Creameries and Pasteurisers,1997 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 November,Domestic,Million Litres,200.6
Intake of Cows Milk by Creameries and Pasteurisers,1997 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997 December,Domestic,Million Litres,128.2
Intake of Cows Milk by Creameries and Pasteurisers,1997 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1998 January,Domestic,Million Litres,120.4
Intake of Cows Milk by Creameries and Pasteurisers,1998 January,Import,Million Litres,18.9
Intake of Cows Milk by Creameries and Pasteurisers,1998 February,Domestic,Million Litres,195
Intake of Cows Milk by Creameries and Pasteurisers,1998 February,Import,Million Litres,16.9
Intake of Cows Milk by Creameries and Pasteurisers,1998 March,Domestic,Million Litres,382.3
Intake of Cows Milk by Creameries and Pasteurisers,1998 March,Import,Million Litres,25.9
Intake of Cows Milk by Creameries and Pasteurisers,1998 April,Domestic,Million Litres,575.5
Intake of Cows Milk by Creameries and Pasteurisers,1998 April,Import,Million Litres,18.8
Intake of Cows Milk by Creameries and Pasteurisers,1998 May,Domestic,Million Litres,680
Intake of Cows Milk by Creameries and Pasteurisers,1998 May,Import,Million Litres,18.7
Intake of Cows Milk by Creameries and Pasteurisers,1998 June,Domestic,Million Litres,659.5
Intake of Cows Milk by Creameries and Pasteurisers,1998 June,Import,Million Litres,16.4
Intake of Cows Milk by Creameries and Pasteurisers,1998 July,Domestic,Million Litres,609.8
Intake of Cows Milk by Creameries and Pasteurisers,1998 July,Import,Million Litres,16.6
Intake of Cows Milk by Creameries and Pasteurisers,1998 August,Domestic,Million Litres,567.8
Intake of Cows Milk by Creameries and Pasteurisers,1998 August,Import,Million Litres,13.9
Intake of Cows Milk by Creameries and Pasteurisers,1998 September,Domestic,Million Litres,461.9
Intake of Cows Milk by Creameries and Pasteurisers,1998 September,Import,Million Litres,22.9
Intake of Cows Milk by Creameries and Pasteurisers,1998 October,Domestic,Million Litres,363.2
Intake of Cows Milk by Creameries and Pasteurisers,1998 October,Import,Million Litres,38.2
Intake of Cows Milk by Creameries and Pasteurisers,1998 November,Domestic,Million Litres,200.6
Intake of Cows Milk by Creameries and Pasteurisers,1998 November,Import,Million Litres,38.4
Intake of Cows Milk by Creameries and Pasteurisers,1998 December,Domestic,Million Litres,128.4
Intake of Cows Milk by Creameries and Pasteurisers,1998 December,Import,Million Litres,36.2
Intake of Cows Milk by Creameries and Pasteurisers,1999 January,Domestic,Million Litres,115.7
Intake of Cows Milk by Creameries and Pasteurisers,1999 January,Import,Million Litres,22.7
Intake of Cows Milk by Creameries and Pasteurisers,1999 February,Domestic,Million Litres,182.1
Intake of Cows Milk by Creameries and Pasteurisers,1999 February,Import,Million Litres,19.1
Intake of Cows Milk by Creameries and Pasteurisers,1999 March,Domestic,Million Litres,406.8
Intake of Cows Milk by Creameries and Pasteurisers,1999 March,Import,Million Litres,39.8
Intake of Cows Milk by Creameries and Pasteurisers,1999 April,Domestic,Million Litres,564.4
Intake of Cows Milk by Creameries and Pasteurisers,1999 April,Import,Million Litres,25
Intake of Cows Milk by Creameries and Pasteurisers,1999 May,Domestic,Million Litres,688.9
Intake of Cows Milk by Creameries and Pasteurisers,1999 May,Import,Million Litres,29.4
Intake of Cows Milk by Creameries and Pasteurisers,1999 June,Domestic,Million Litres,625.5
Intake of Cows Milk by Creameries and Pasteurisers,1999 June,Import,Million Litres,28.2
Intake of Cows Milk by Creameries and Pasteurisers,1999 July,Domestic,Million Litres,611
Intake of Cows Milk by Creameries and Pasteurisers,1999 July,Import,Million Litres,24.9
Intake of Cows Milk by Creameries and Pasteurisers,1999 August,Domestic,Million Litres,574.9
Intake of Cows Milk by Creameries and Pasteurisers,1999 August,Import,Million Litres,21.2
Intake of Cows Milk by Creameries and Pasteurisers,1999 September,Domestic,Million Litres,473.4
Intake of Cows Milk by Creameries and Pasteurisers,1999 September,Import,Million Litres,25
Intake of Cows Milk by Creameries and Pasteurisers,1999 October,Domestic,Million Litres,368.9
Intake of Cows Milk by Creameries and Pasteurisers,1999 October,Import,Million Litres,40.8
Intake of Cows Milk by Creameries and Pasteurisers,1999 November,Domestic,Million Litres,230.2
Intake of Cows Milk by Creameries and Pasteurisers,1999 November,Import,Million Litres,42.1
Intake of Cows Milk by Creameries and Pasteurisers,1999 December,Domestic,Million Litres,131.5
Intake of Cows Milk by Creameries and Pasteurisers,1999 December,Import,Million Litres,42.5
Intake of Cows Milk by Creameries and Pasteurisers,2000 January,Domestic,Million Litres,118.9
Intake of Cows Milk by Creameries and Pasteurisers,2000 January,Import,Million Litres,47.5
Intake of Cows Milk by Creameries and Pasteurisers,2000 February,Domestic,Million Litres,187.8
Intake of Cows Milk by Creameries and Pasteurisers,2000 February,Import,Million Litres,41.2
Intake of Cows Milk by Creameries and Pasteurisers,2000 March,Domestic,Million Litres,358.7
Intake of Cows Milk by Creameries and Pasteurisers,2000 March,Import,Million Litres,44
Intake of Cows Milk by Creameries and Pasteurisers,2000 April,Domestic,Million Litres,611.4
Intake of Cows Milk by Creameries and Pasteurisers,2000 April,Import,Million Litres,20.1
Intake of Cows Milk by Creameries and Pasteurisers,2000 May,Domestic,Million Litres,695.9
Intake of Cows Milk by Creameries and Pasteurisers,2000 May,Import,Million Litres,23.1
Intake of Cows Milk by Creameries and Pasteurisers,2000 June,Domestic,Million Litres,676.3
Intake of Cows Milk by Creameries and Pasteurisers,2000 June,Import,Million Litres,22.7
Intake of Cows Milk by Creameries and Pasteurisers,2000 July,Domestic,Million Litres,638.7
Intake of Cows Milk by Creameries and Pasteurisers,2000 July,Import,Million Litres,19.9
Intake of Cows Milk by Creameries and Pasteurisers,2000 August,Domestic,Million Litres,570.8
Intake of Cows Milk by Creameries and Pasteurisers,2000 August,Import,Million Litres,17.6
Intake of Cows Milk by Creameries and Pasteurisers,2000 September,Domestic,Million Litres,476.7
Intake of Cows Milk by Creameries and Pasteurisers,2000 September,Import,Million Litres,16.4
Intake of Cows Milk by Creameries and Pasteurisers,2000 October,Domestic,Million Litres,359.9
Intake of Cows Milk by Creameries and Pasteurisers,2000 October,Import,Million Litres,17.1
Intake of Cows Milk by Creameries and Pasteurisers,2000 November,Domestic,Million Litres,191.2
Intake of Cows Milk by Creameries and Pasteurisers,2000 November,Import,Million Litres,15.3
Intake of Cows Milk by Creameries and Pasteurisers,2000 December,Domestic,Million Litres,125
Intake of Cows Milk by Creameries and Pasteurisers,2000 December,Import,Million Litres,19.3
Intake of Cows Milk by Creameries and Pasteurisers,2001 January,Domestic,Million Litres,118.1
Intake of Cows Milk by Creameries and Pasteurisers,2001 January,Import,Million Litres,23.4
Intake of Cows Milk by Creameries and Pasteurisers,2001 February,Domestic,Million Litres,185.9
Intake of Cows Milk by Creameries and Pasteurisers,2001 February,Import,Million Litres,18.2
Intake of Cows Milk by Creameries and Pasteurisers,2001 March,Domestic,Million Litres,382.5
Intake of Cows Milk by Creameries and Pasteurisers,2001 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2001 April,Domestic,Million Litres,545.8
Intake of Cows Milk by Creameries and Pasteurisers,2001 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2001 May,Domestic,Million Litres,709.2
Intake of Cows Milk by Creameries and Pasteurisers,2001 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2001 June,Domestic,Million Litres,681.8
Intake of Cows Milk by Creameries and Pasteurisers,2001 June,Import,Million Litres,15.3
Intake of Cows Milk by Creameries and Pasteurisers,2001 July,Domestic,Million Litres,653.3
Intake of Cows Milk by Creameries and Pasteurisers,2001 July,Import,Million Litres,27.2
Intake of Cows Milk by Creameries and Pasteurisers,2001 August,Domestic,Million Litres,591.2
Intake of Cows Milk by Creameries and Pasteurisers,2001 August,Import,Million Litres,25.2
Intake of Cows Milk by Creameries and Pasteurisers,2001 September,Domestic,Million Litres,506.1
Intake of Cows Milk by Creameries and Pasteurisers,2001 September,Import,Million Litres,23.5
Intake of Cows Milk by Creameries and Pasteurisers,2001 October,Domestic,Million Litres,412.6
Intake of Cows Milk by Creameries and Pasteurisers,2001 October,Import,Million Litres,24.6
Intake of Cows Milk by Creameries and Pasteurisers,2001 November,Domestic,Million Litres,252.2
Intake of Cows Milk by Creameries and Pasteurisers,2001 November,Import,Million Litres,24.1
Intake of Cows Milk by Creameries and Pasteurisers,2001 December,Domestic,Million Litres,140
Intake of Cows Milk by Creameries and Pasteurisers,2001 December,Import,Million Litres,28
Intake of Cows Milk by Creameries and Pasteurisers,2002 January,Domestic,Million Litres,116.9
Intake of Cows Milk by Creameries and Pasteurisers,2002 January,Import,Million Litres,16.8
Intake of Cows Milk by Creameries and Pasteurisers,2002 February,Domestic,Million Litres,164.8
Intake of Cows Milk by Creameries and Pasteurisers,2002 February,Import,Million Litres,21.9
Intake of Cows Milk by Creameries and Pasteurisers,2002 March,Domestic,Million Litres,337
Intake of Cows Milk by Creameries and Pasteurisers,2002 March,Import,Million Litres,29.2
Intake of Cows Milk by Creameries and Pasteurisers,2002 April,Domestic,Million Litres,595.6
Intake of Cows Milk by Creameries and Pasteurisers,2002 April,Import,Million Litres,31.2
Intake of Cows Milk by Creameries and Pasteurisers,2002 May,Domestic,Million Litres,708.1
Intake of Cows Milk by Creameries and Pasteurisers,2002 May,Import,Million Litres,31.6
Intake of Cows Milk by Creameries and Pasteurisers,2002 June,Domestic,Million Litres,650.6
Intake of Cows Milk by Creameries and Pasteurisers,2002 June,Import,Million Litres,26.3
Intake of Cows Milk by Creameries and Pasteurisers,2002 July,Domestic,Million Litres,629.6
Intake of Cows Milk by Creameries and Pasteurisers,2002 July,Import,Million Litres,22.1
Intake of Cows Milk by Creameries and Pasteurisers,2002 August,Domestic,Million Litres,570
Intake of Cows Milk by Creameries and Pasteurisers,2002 August,Import,Million Litres,19.3
Intake of Cows Milk by Creameries and Pasteurisers,2002 September,Domestic,Million Litres,486.8
Intake of Cows Milk by Creameries and Pasteurisers,2002 September,Import,Million Litres,21
Intake of Cows Milk by Creameries and Pasteurisers,2002 October,Domestic,Million Litres,405.9
Intake of Cows Milk by Creameries and Pasteurisers,2002 October,Import,Million Litres,17
Intake of Cows Milk by Creameries and Pasteurisers,2002 November,Domestic,Million Litres,229.7
Intake of Cows Milk by Creameries and Pasteurisers,2002 November,Import,Million Litres,18.3
Intake of Cows Milk by Creameries and Pasteurisers,2002 December,Domestic,Million Litres,137.3
Intake of Cows Milk by Creameries and Pasteurisers,2002 December,Import,Million Litres,23.8
Intake of Cows Milk by Creameries and Pasteurisers,2003 January,Domestic,Million Litres,125.4
Intake of Cows Milk by Creameries and Pasteurisers,2003 January,Import,Million Litres,22.5
Intake of Cows Milk by Creameries and Pasteurisers,2003 February,Domestic,Million Litres,187.5
Intake of Cows Milk by Creameries and Pasteurisers,2003 February,Import,Million Litres,22.8
Intake of Cows Milk by Creameries and Pasteurisers,2003 March,Domestic,Million Litres,406.5
Intake of Cows Milk by Creameries and Pasteurisers,2003 March,Import,Million Litres,32.7
Intake of Cows Milk by Creameries and Pasteurisers,2003 April,Domestic,Million Litres,589.1
Intake of Cows Milk by Creameries and Pasteurisers,2003 April,Import,Million Litres,32.5
Intake of Cows Milk by Creameries and Pasteurisers,2003 May,Domestic,Million Litres,705.1
Intake of Cows Milk by Creameries and Pasteurisers,2003 May,Import,Million Litres,36.2
Intake of Cows Milk by Creameries and Pasteurisers,2003 June,Domestic,Million Litres,655.4
Intake of Cows Milk by Creameries and Pasteurisers,2003 June,Import,Million Litres,32.8
Intake of Cows Milk by Creameries and Pasteurisers,2003 July,Domestic,Million Litres,627.9
Intake of Cows Milk by Creameries and Pasteurisers,2003 July,Import,Million Litres,30.2
Intake of Cows Milk by Creameries and Pasteurisers,2003 August,Domestic,Million Litres,566.9
Intake of Cows Milk by Creameries and Pasteurisers,2003 August,Import,Million Litres,27.8
Intake of Cows Milk by Creameries and Pasteurisers,2003 September,Domestic,Million Litres,479
Intake of Cows Milk by Creameries and Pasteurisers,2003 September,Import,Million Litres,20.7
Intake of Cows Milk by Creameries and Pasteurisers,2003 October,Domestic,Million Litres,410.4
Intake of Cows Milk by Creameries and Pasteurisers,2003 October,Import,Million Litres,31.3
Intake of Cows Milk by Creameries and Pasteurisers,2003 November,Domestic,Million Litres,256.5
Intake of Cows Milk by Creameries and Pasteurisers,2003 November,Import,Million Litres,30.9
Intake of Cows Milk by Creameries and Pasteurisers,2003 December,Domestic,Million Litres,147.3
Intake of Cows Milk by Creameries and Pasteurisers,2003 December,Import,Million Litres,28.7
Intake of Cows Milk by Creameries and Pasteurisers,2004 January,Domestic,Million Litres,125.1
Intake of Cows Milk by Creameries and Pasteurisers,2004 January,Import,Million Litres,30.7
Intake of Cows Milk by Creameries and Pasteurisers,2004 February,Domestic,Million Litres,195.5
Intake of Cows Milk by Creameries and Pasteurisers,2004 February,Import,Million Litres,27.2
Intake of Cows Milk by Creameries and Pasteurisers,2004 March,Domestic,Million Litres,377.4
Intake of Cows Milk by Creameries and Pasteurisers,2004 March,Import,Million Litres,27.7
Intake of Cows Milk by Creameries and Pasteurisers,2004 April,Domestic,Million Litres,596.9
Intake of Cows Milk by Creameries and Pasteurisers,2004 April,Import,Million Litres,23.9
Intake of Cows Milk by Creameries and Pasteurisers,2004 May,Domestic,Million Litres,701.7
Intake of Cows Milk by Creameries and Pasteurisers,2004 May,Import,Million Litres,25.3
Intake of Cows Milk by Creameries and Pasteurisers,2004 June,Domestic,Million Litres,658.7
Intake of Cows Milk by Creameries and Pasteurisers,2004 June,Import,Million Litres,25.8
Intake of Cows Milk by Creameries and Pasteurisers,2004 July,Domestic,Million Litres,647.2
Intake of Cows Milk by Creameries and Pasteurisers,2004 July,Import,Million Litres,31.7
Intake of Cows Milk by Creameries and Pasteurisers,2004 August,Domestic,Million Litres,579
Intake of Cows Milk by Creameries and Pasteurisers,2004 August,Import,Million Litres,33.6
Intake of Cows Milk by Creameries and Pasteurisers,2004 September,Domestic,Million Litres,479.5
Intake of Cows Milk by Creameries and Pasteurisers,2004 September,Import,Million Litres,28.2
Intake of Cows Milk by Creameries and Pasteurisers,2004 October,Domestic,Million Litres,383.5
Intake of Cows Milk by Creameries and Pasteurisers,2004 October,Import,Million Litres,36.2
Intake of Cows Milk by Creameries and Pasteurisers,2004 November,Domestic,Million Litres,232.8
Intake of Cows Milk by Creameries and Pasteurisers,2004 November,Import,Million Litres,39.2
Intake of Cows Milk by Creameries and Pasteurisers,2004 December,Domestic,Million Litres,138.7
Intake of Cows Milk by Creameries and Pasteurisers,2004 December,Import,Million Litres,47.9
Intake of Cows Milk by Creameries and Pasteurisers,2005 January,Domestic,Million Litres,123.1
Intake of Cows Milk by Creameries and Pasteurisers,2005 January,Import,Million Litres,48.9
Intake of Cows Milk by Creameries and Pasteurisers,2005 February,Domestic,Million Litres,187.6
Intake of Cows Milk by Creameries and Pasteurisers,2005 February,Import,Million Litres,46.2
Intake of Cows Milk by Creameries and Pasteurisers,2005 March,Domestic,Million Litres,327.4
Intake of Cows Milk by Creameries and Pasteurisers,2005 March,Import,Million Litres,50.2
Intake of Cows Milk by Creameries and Pasteurisers,2005 April,Domestic,Million Litres,587
Intake of Cows Milk by Creameries and Pasteurisers,2005 April,Import,Million Litres,44.3
Intake of Cows Milk by Creameries and Pasteurisers,2005 May,Domestic,Million Litres,679.7
Intake of Cows Milk by Creameries and Pasteurisers,2005 May,Import,Million Litres,48.9
Intake of Cows Milk by Creameries and Pasteurisers,2005 June,Domestic,Million Litres,640.6
Intake of Cows Milk by Creameries and Pasteurisers,2005 June,Import,Million Litres,43.9
Intake of Cows Milk by Creameries and Pasteurisers,2005 July,Domestic,Million Litres,612.6
Intake of Cows Milk by Creameries and Pasteurisers,2005 July,Import,Million Litres,44.7
Intake of Cows Milk by Creameries and Pasteurisers,2005 August,Domestic,Million Litres,559.7
Intake of Cows Milk by Creameries and Pasteurisers,2005 August,Import,Million Litres,42.4
Intake of Cows Milk by Creameries and Pasteurisers,2005 September,Domestic,Million Litres,469.8
Intake of Cows Milk by Creameries and Pasteurisers,2005 September,Import,Million Litres,47.5
Intake of Cows Milk by Creameries and Pasteurisers,2005 October,Domestic,Million Litres,376.5
Intake of Cows Milk by Creameries and Pasteurisers,2005 October,Import,Million Litres,42.4
Intake of Cows Milk by Creameries and Pasteurisers,2005 November,Domestic,Million Litres,216.4
Intake of Cows Milk by Creameries and Pasteurisers,2005 November,Import,Million Litres,42.3
Intake of Cows Milk by Creameries and Pasteurisers,2005 December,Domestic,Million Litres,134.9
Intake of Cows Milk by Creameries and Pasteurisers,2005 December,Import,Million Litres,48.6
Intake of Cows Milk by Creameries and Pasteurisers,2006 January,Domestic,Million Litres,119.9
Intake of Cows Milk by Creameries and Pasteurisers,2006 January,Import,Million Litres,58.1
Intake of Cows Milk by Creameries and Pasteurisers,2006 February,Domestic,Million Litres,187.7
Intake of Cows Milk by Creameries and Pasteurisers,2006 February,Import,Million Litres,41.4
Intake of Cows Milk by Creameries and Pasteurisers,2006 March,Domestic,Million Litres,391.1
Intake of Cows Milk by Creameries and Pasteurisers,2006 March,Import,Million Litres,45.3
Intake of Cows Milk by Creameries and Pasteurisers,2006 April,Domestic,Million Litres,552.2
Intake of Cows Milk by Creameries and Pasteurisers,2006 April,Import,Million Litres,48.2
Intake of Cows Milk by Creameries and Pasteurisers,2006 May,Domestic,Million Litres,683.6
Intake of Cows Milk by Creameries and Pasteurisers,2006 May,Import,Million Litres,49
Intake of Cows Milk by Creameries and Pasteurisers,2006 June,Domestic,Million Litres,641.6
Intake of Cows Milk by Creameries and Pasteurisers,2006 June,Import,Million Litres,47.9
Intake of Cows Milk by Creameries and Pasteurisers,2006 July,Domestic,Million Litres,620.3
Intake of Cows Milk by Creameries and Pasteurisers,2006 July,Import,Million Litres,45.6
Intake of Cows Milk by Creameries and Pasteurisers,2006 August,Domestic,Million Litres,564.7
Intake of Cows Milk by Creameries and Pasteurisers,2006 August,Import,Million Litres,45
Intake of Cows Milk by Creameries and Pasteurisers,2006 September,Domestic,Million Litres,487.8
Intake of Cows Milk by Creameries and Pasteurisers,2006 September,Import,Million Litres,47.3
Intake of Cows Milk by Creameries and Pasteurisers,2006 October,Domestic,Million Litres,411.5
Intake of Cows Milk by Creameries and Pasteurisers,2006 October,Import,Million Litres,44.8
Intake of Cows Milk by Creameries and Pasteurisers,2006 November,Domestic,Million Litres,265.4
Intake of Cows Milk by Creameries and Pasteurisers,2006 November,Import,Million Litres,44
Intake of Cows Milk by Creameries and Pasteurisers,2006 December,Domestic,Million Litres,148
Intake of Cows Milk by Creameries and Pasteurisers,2006 December,Import,Million Litres,49.4
Intake of Cows Milk by Creameries and Pasteurisers,2007 January,Domestic,Million Litres,122.7
Intake of Cows Milk by Creameries and Pasteurisers,2007 January,Import,Million Litres,54.6
Intake of Cows Milk by Creameries and Pasteurisers,2007 February,Domestic,Million Litres,184.8
Intake of Cows Milk by Creameries and Pasteurisers,2007 February,Import,Million Litres,38
Intake of Cows Milk by Creameries and Pasteurisers,2007 March,Domestic,Million Litres,385.1
Intake of Cows Milk by Creameries and Pasteurisers,2007 March,Import,Million Litres,35.8
Intake of Cows Milk by Creameries and Pasteurisers,2007 April,Domestic,Million Litres,579.1
Intake of Cows Milk by Creameries and Pasteurisers,2007 April,Import,Million Litres,38.7
Intake of Cows Milk by Creameries and Pasteurisers,2007 May,Domestic,Million Litres,686.2
Intake of Cows Milk by Creameries and Pasteurisers,2007 May,Import,Million Litres,46.9
Intake of Cows Milk by Creameries and Pasteurisers,2007 June,Domestic,Million Litres,643.2
Intake of Cows Milk by Creameries and Pasteurisers,2007 June,Import,Million Litres,45.7
Intake of Cows Milk by Creameries and Pasteurisers,2007 July,Domestic,Million Litres,613.4
Intake of Cows Milk by Creameries and Pasteurisers,2007 July,Import,Million Litres,39.7
Intake of Cows Milk by Creameries and Pasteurisers,2007 August,Domestic,Million Litres,559.1
Intake of Cows Milk by Creameries and Pasteurisers,2007 August,Import,Million Litres,33.4
Intake of Cows Milk by Creameries and Pasteurisers,2007 September,Domestic,Million Litres,478.3
Intake of Cows Milk by Creameries and Pasteurisers,2007 September,Import,Million Litres,31.7
Intake of Cows Milk by Creameries and Pasteurisers,2007 October,Domestic,Million Litres,407.9
Intake of Cows Milk by Creameries and Pasteurisers,2007 October,Import,Million Litres,33.7
Intake of Cows Milk by Creameries and Pasteurisers,2007 November,Domestic,Million Litres,266.7
Intake of Cows Milk by Creameries and Pasteurisers,2007 November,Import,Million Litres,36.7
Intake of Cows Milk by Creameries and Pasteurisers,2007 December,Domestic,Million Litres,147.8
Intake of Cows Milk by Creameries and Pasteurisers,2007 December,Import,Million Litres,38.2
Intake of Cows Milk by Creameries and Pasteurisers,2008 January,Domestic,Million Litres,127
Intake of Cows Milk by Creameries and Pasteurisers,2008 January,Import,Million Litres,38.2
Intake of Cows Milk by Creameries and Pasteurisers,2008 February,Domestic,Million Litres,204
Intake of Cows Milk by Creameries and Pasteurisers,2008 February,Import,Million Litres,36.8
Intake of Cows Milk by Creameries and Pasteurisers,2008 March,Domestic,Million Litres,378.4
Intake of Cows Milk by Creameries and Pasteurisers,2008 March,Import,Million Litres,40.7
Intake of Cows Milk by Creameries and Pasteurisers,2008 April,Domestic,Million Litres,573.1
Intake of Cows Milk by Creameries and Pasteurisers,2008 April,Import,Million Litres,40.3
Intake of Cows Milk by Creameries and Pasteurisers,2008 May,Domestic,Million Litres,681
Intake of Cows Milk by Creameries and Pasteurisers,2008 May,Import,Million Litres,42
Intake of Cows Milk by Creameries and Pasteurisers,2008 June,Domestic,Million Litres,637.4
Intake of Cows Milk by Creameries and Pasteurisers,2008 June,Import,Million Litres,37
Intake of Cows Milk by Creameries and Pasteurisers,2008 July,Domestic,Million Litres,605.9
Intake of Cows Milk by Creameries and Pasteurisers,2008 July,Import,Million Litres,41.2
Intake of Cows Milk by Creameries and Pasteurisers,2008 August,Domestic,Million Litres,542.2
Intake of Cows Milk by Creameries and Pasteurisers,2008 August,Import,Million Litres,35.2
Intake of Cows Milk by Creameries and Pasteurisers,2008 September,Domestic,Million Litres,439.4
Intake of Cows Milk by Creameries and Pasteurisers,2008 September,Import,Million Litres,32.9
Intake of Cows Milk by Creameries and Pasteurisers,2008 October,Domestic,Million Litres,372.3
Intake of Cows Milk by Creameries and Pasteurisers,2008 October,Import,Million Litres,38.2
Intake of Cows Milk by Creameries and Pasteurisers,2008 November,Domestic,Million Litres,231.7
Intake of Cows Milk by Creameries and Pasteurisers,2008 November,Import,Million Litres,49.1
Intake of Cows Milk by Creameries and Pasteurisers,2008 December,Domestic,Million Litres,150.9
Intake of Cows Milk by Creameries and Pasteurisers,2008 December,Import,Million Litres,32.4
Intake of Cows Milk by Creameries and Pasteurisers,2009 January,Domestic,Million Litres,131.4
Intake of Cows Milk by Creameries and Pasteurisers,2009 January,Import,Million Litres,34.9
Intake of Cows Milk by Creameries and Pasteurisers,2009 February,Domestic,Million Litres,197.1
Intake of Cows Milk by Creameries and Pasteurisers,2009 February,Import,Million Litres,31.6
Intake of Cows Milk by Creameries and Pasteurisers,2009 March,Domestic,Million Litres,416.4
Intake of Cows Milk by Creameries and Pasteurisers,2009 March,Import,Million Litres,39.1
Intake of Cows Milk by Creameries and Pasteurisers,2009 April,Domestic,Million Litres,560.7
Intake of Cows Milk by Creameries and Pasteurisers,2009 April,Import,Million Litres,36.2
Intake of Cows Milk by Creameries and Pasteurisers,2009 May,Domestic,Million Litres,645.6
Intake of Cows Milk by Creameries and Pasteurisers,2009 May,Import,Million Litres,33.9
Intake of Cows Milk by Creameries and Pasteurisers,2009 June,Domestic,Million Litres,615.5
Intake of Cows Milk by Creameries and Pasteurisers,2009 June,Import,Million Litres,63
Intake of Cows Milk by Creameries and Pasteurisers,2009 July,Domestic,Million Litres,576.9
Intake of Cows Milk by Creameries and Pasteurisers,2009 July,Import,Million Litres,34.3
Intake of Cows Milk by Creameries and Pasteurisers,2009 August,Domestic,Million Litres,504.2
Intake of Cows Milk by Creameries and Pasteurisers,2009 August,Import,Million Litres,33.1
Intake of Cows Milk by Creameries and Pasteurisers,2009 September,Domestic,Million Litres,415.6
Intake of Cows Milk by Creameries and Pasteurisers,2009 September,Import,Million Litres,29.5
Intake of Cows Milk by Creameries and Pasteurisers,2009 October,Domestic,Million Litres,365.7
Intake of Cows Milk by Creameries and Pasteurisers,2009 October,Import,Million Litres,29.2
Intake of Cows Milk by Creameries and Pasteurisers,2009 November,Domestic,Million Litres,220.1
Intake of Cows Milk by Creameries and Pasteurisers,2009 November,Import,Million Litres,30.9
Intake of Cows Milk by Creameries and Pasteurisers,2009 December,Domestic,Million Litres,136.1
Intake of Cows Milk by Creameries and Pasteurisers,2009 December,Import,Million Litres,31.7
Intake of Cows Milk by Creameries and Pasteurisers,2010 January,Domestic,Million Litres,118.1
Intake of Cows Milk by Creameries and Pasteurisers,2010 January,Import,Million Litres,35.4
Intake of Cows Milk by Creameries and Pasteurisers,2010 February,Domestic,Million Litres,192.7
Intake of Cows Milk by Creameries and Pasteurisers,2010 February,Import,Million Litres,32.4
Intake of Cows Milk by Creameries and Pasteurisers,2010 March,Domestic,Million Litres,380.8
Intake of Cows Milk by Creameries and Pasteurisers,2010 March,Import,Million Litres,33.9
Intake of Cows Milk by Creameries and Pasteurisers,2010 April,Domestic,Million Litres,530.8
Intake of Cows Milk by Creameries and Pasteurisers,2010 April,Import,Million Litres,34.5
Intake of Cows Milk by Creameries and Pasteurisers,2010 May,Domestic,Million Litres,693.9
