Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,1977 October,Domestic,Million Litres,273.7
Intake of Cows Milk by Creameries and Pasteurisers,1977 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1977 November,Domestic,Million Litres,133.2
Intake of Cows Milk by Creameries and Pasteurisers,1977 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1977 December,Domestic,Million Litres,81
Intake of Cows Milk by Creameries and Pasteurisers,1977 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 January,Domestic,Million Litres,86.3
Intake of Cows Milk by Creameries and Pasteurisers,1978 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 February,Domestic,Million Litres,139.2
Intake of Cows Milk by Creameries and Pasteurisers,1978 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 March,Domestic,Million Litres,289.2
Intake of Cows Milk by Creameries and Pasteurisers,1978 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 April,Domestic,Million Litres,459.3
Intake of Cows Milk by Creameries and Pasteurisers,1978 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 May,Domestic,Million Litres,640.2
Intake of Cows Milk by Creameries and Pasteurisers,1978 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 June,Domestic,Million Litres,637
Intake of Cows Milk by Creameries and Pasteurisers,1978 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 July,Domestic,Million Litres,582.3
Intake of Cows Milk by Creameries and Pasteurisers,1978 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 August,Domestic,Million Litres,516.2
Intake of Cows Milk by Creameries and Pasteurisers,1978 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 September,Domestic,Million Litres,436.2
Intake of Cows Milk by Creameries and Pasteurisers,1978 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 October,Domestic,Million Litres,320.6
Intake of Cows Milk by Creameries and Pasteurisers,1978 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 November,Domestic,Million Litres,167.1
Intake of Cows Milk by Creameries and Pasteurisers,1978 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1978 December,Domestic,Million Litres,89.3
Intake of Cows Milk by Creameries and Pasteurisers,1978 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 January,Domestic,Million Litres,96.3
Intake of Cows Milk by Creameries and Pasteurisers,1979 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 February,Domestic,Million Litres,168.3
Intake of Cows Milk by Creameries and Pasteurisers,1979 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 March,Domestic,Million Litres,327.7
Intake of Cows Milk by Creameries and Pasteurisers,1979 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 April,Domestic,Million Litres,462.5
Intake of Cows Milk by Creameries and Pasteurisers,1979 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 May,Domestic,Million Litres,660.3
Intake of Cows Milk by Creameries and Pasteurisers,1979 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 June,Domestic,Million Litres,659.7
Intake of Cows Milk by Creameries and Pasteurisers,1979 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 July,Domestic,Million Litres,625.1
Intake of Cows Milk by Creameries and Pasteurisers,1979 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 August,Domestic,Million Litres,526.9
Intake of Cows Milk by Creameries and Pasteurisers,1979 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 September,Domestic,Million Litres,430
Intake of Cows Milk by Creameries and Pasteurisers,1979 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 October,Domestic,Million Litres,304.5
Intake of Cows Milk by Creameries and Pasteurisers,1979 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 November,Domestic,Million Litres,135.4
Intake of Cows Milk by Creameries and Pasteurisers,1979 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1979 December,Domestic,Million Litres,81.4
Intake of Cows Milk by Creameries and Pasteurisers,1979 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 January,Domestic,Million Litres,94.5
