,Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE,New_Date
15737,Most Rainfall in a Day,1980M06,Valentia Observatory,Millimetres,30.7,1980-06
15738,Most Rainfall in a Day,1980M06,Casement,Millimetres,11.7,1980-06
15739,Most Rainfall in a Day,1980M06,Claremorris,Millimetres,13.4,1980-06
15740,Most Rainfall in a Day,1980M06,Clones,Millimetres,10.0,1980-06
15741,Most Rainfall in a Day,1980M06,Cork airport,Millimetres,11.8,1980-06
15742,Most Rainfall in a Day,1980M06,Dublin airport,Millimetres,13.5,1980-06
15743,Most Rainfall in a Day,1980M06,Galway,Millimetres,25.3,1980-06
15744,Most Rainfall in a Day,1980M06,Kilkenny,Millimetres,4.8,1980-06
15745,Most Rainfall in a Day,1980M06,Malin head,Millimetres,14.6,1980-06
15746,Most Rainfall in a Day,1980M06,Mullingar,Millimetres,13.2,1980-06
15747,Most Rainfall in a Day,1980M06,Roches Point,Millimetres,11.2,1980-06
15748,Most Rainfall in a Day,1980M06,Rosslare,Millimetres,10.9,1980-06
15749,Most Rainfall in a Day,1980M06,Shannon airport,Millimetres,13.2,1980-06
15750,Most Rainfall in a Day,1980M07,Belmullet,Millimetres,27.5,1980-07
15751,Most Rainfall in a Day,1980M07,Birr,Millimetres,26.5,1980-07
15752,Most Rainfall in a Day,1980M07,Valentia Observatory,Millimetres,31.1,1980-07
15753,Most Rainfall in a Day,1980M07,Casement,Millimetres,16.3,1980-07
15754,Most Rainfall in a Day,1980M07,Claremorris,Millimetres,28.7,1980-07
15755,Most Rainfall in a Day,1980M07,Clones,Millimetres,12.7,1980-07
15756,Most Rainfall in a Day,1980M07,Cork airport,Millimetres,24.7,1980-07
15757,Most Rainfall in a Day,1980M07,Dublin airport,Millimetres,10.3,1980-07
15758,Most Rainfall in a Day,1980M07,Galway,Millimetres,23.5,1980-07
15759,Most Rainfall in a Day,1980M07,Kilkenny,Millimetres,19.5,1980-07
15760,Most Rainfall in a Day,1980M07,Malin head,Millimetres,16.1,1980-07
15761,Most Rainfall in a Day,1980M07,Mullingar,Millimetres,10.9,1980-07
15762,Most Rainfall in a Day,1980M07,Roches Point,Millimetres,18.0,1980-07
15763,Most Rainfall in a Day,1980M07,Rosslare,Millimetres,23.0,1980-07
15764,Most Rainfall in a Day,1980M07,Shannon airport,Millimetres,18.1,1980-07
15765,Most Rainfall in a Day,1980M08,Belmullet,Millimetres,6.0,1980-08
15766,Most Rainfall in a Day,1980M08,Birr,Millimetres,13.4,1980-08
15767,Most Rainfall in a Day,1980M08,Valentia Observatory,Millimetres,32.4,1980-08
15768,Most Rainfall in a Day,1980M08,Casement,Millimetres,42.8,1980-08
15769,Most Rainfall in a Day,1980M08,Claremorris,Millimetres,14.1,1980-08
15770,Most Rainfall in a Day,1980M08,Clones,Millimetres,12.2,1980-08
15771,Most Rainfall in a Day,1980M08,Cork airport,Millimetres,27.9,1980-08
15772,Most Rainfall in a Day,1980M08,Dublin airport,Millimetres,29.4,1980-08
15773,Most Rainfall in a Day,1980M08,Galway,Millimetres,28.0,1980-08
15774,Most Rainfall in a Day,1980M08,Kilkenny,Millimetres,29.2,1980-08
15775,Most Rainfall in a Day,1980M08,Malin head,Millimetres,15.6,1980-08
15776,Most Rainfall in a Day,1980M08,Mullingar,Millimetres,19.6,1980-08
15777,Most Rainfall in a Day,1980M08,Roches Point,Millimetres,15.5,1980-08
15778,Most Rainfall in a Day,1980M08,Rosslare,Millimetres,13.2,1980-08
15779,Most Rainfall in a Day,1980M08,Shannon airport,Millimetres,22.1,1980-08
15780,Most Rainfall in a Day,1980M09,Belmullet,Millimetres,20.6,1980-09
15781,Most Rainfall in a Day,1980M09,Birr,Millimetres,18.8,1980-09
15782,Most Rainfall in a Day,1980M09,Valentia Observatory,Millimetres,43.4,1980-09
15783,Most Rainfall in a Day,1980M09,Casement,Millimetres,29.1,1980-09
15784,Most Rainfall in a Day,1980M09,Claremorris,Millimetres,36.9,1980-09
15785,Most Rainfall in a Day,1980M09,Clones,Millimetres,13.0,1980-09
15786,Most Rainfall in a Day,1980M09,Cork airport,Millimetres,34.7,1980-09
15787,Most Rainfall in a Day,1980M09,Dublin airport,Millimetres,35.4,1980-09
15788,Most Rainfall in a Day,1980M09,Galway,Millimetres,19.2,1980-09
15789,Most Rainfall in a Day,1980M09,Kilkenny,Millimetres,17.9,1980-09
15790,Most Rainfall in a Day,1980M09,Malin head,Millimetres,17.4,1980-09
15791,Most Rainfall in a Day,1980M09,Mullingar,Millimetres,16.1,1980-09
15792,Most Rainfall in a Day,1980M09,Roches Point,Millimetres,26.9,1980-09
15793,Most Rainfall in a Day,1980M09,Rosslare,Millimetres,23.5,1980-09
15794,Most Rainfall in a Day,1980M09,Shannon airport,Millimetres,20.6,1980-09
15795,Most Rainfall in a Day,1980M10,Belmullet,Millimetres,20.1,1980-10
15796,Most Rainfall in a Day,1980M10,Birr,Millimetres,21.3,1980-10
15797,Most Rainfall in a Day,1980M10,Valentia Observatory,Millimetres,23.9,1980-10
15798,Most Rainfall in a Day,1980M10,Casement,Millimetres,15.1,1980-10
15799,Most Rainfall in a Day,1980M10,Claremorris,Millimetres,19.7,1980-10
15800,Most Rainfall in a Day,1980M10,Clones,Millimetres,35.4,1980-10
15801,Most Rainfall in a Day,1980M10,Cork airport,Millimetres,23.8,1980-10
15802,Most Rainfall in a Day,1980M10,Dublin airport,Millimetres,19.5,1980-10
15803,Most Rainfall in a Day,1980M10,Galway,Millimetres,28.0,1980-10
15804,Most Rainfall in a Day,1980M10,Kilkenny,Millimetres,32.5,1980-10
15805,Most Rainfall in a Day,1980M10,Malin head,Millimetres,23.2,1980-10
15806,Most Rainfall in a Day,1980M10,Mullingar,Millimetres,33.0,1980-10
15807,Most Rainfall in a Day,1980M10,Roches Point,Millimetres,20.5,1980-10
15808,Most Rainfall in a Day,1980M10,Rosslare,Millimetres,24.2,1980-10
15809,Most Rainfall in a Day,1980M10,Shannon airport,Millimetres,20.6,1980-10
15810,Most Rainfall in a Day,1980M11,Belmullet,Millimetres,40.3,1980-11
15811,Most Rainfall in a Day,1980M11,Birr,Millimetres,19.1,1980-11
15812,Most Rainfall in a Day,1980M11,Valentia Observatory,Millimetres,86.6,1980-11
15813,Most Rainfall in a Day,1980M11,Casement,Millimetres,14.2,1980-11
15814,Most Rainfall in a Day,1980M11,Claremorris,Millimetres,37.5,1980-11
15815,Most Rainfall in a Day,1980M11,Clones,Millimetres,12.9,1980-11
15816,Most Rainfall in a Day,1980M11,Cork airport,Millimetres,29.0,1980-11
15817,Most Rainfall in a Day,1980M11,Dublin airport,Millimetres,9.3,1980-11
15818,Most Rainfall in a Day,1980M11,Galway,Millimetres,40.6,1980-11
15819,Most Rainfall in a Day,1980M11,Kilkenny,Millimetres,15.4,1980-11
15820,Most Rainfall in a Day,1980M11,Malin head,Millimetres,11.4,1980-11
15821,Most Rainfall in a Day,1980M11,Mullingar,Millimetres,21.4,1980-11
15822,Most Rainfall in a Day,1980M11,Roches Point,Millimetres,24.6,1980-11
15823,Most Rainfall in a Day,1980M11,Rosslare,Millimetres,19.0,1980-11
15824,Most Rainfall in a Day,1980M11,Shannon airport,Millimetres,25.5,1980-11
15825,Most Rainfall in a Day,1980M12,Belmullet,Millimetres,22.6,1980-12
15826,Most Rainfall in a Day,1980M12,Birr,Millimetres,16.4,1980-12
15827,Most Rainfall in a Day,1980M12,Valentia Observatory,Millimetres,26.3,1980-12
15828,Most Rainfall in a Day,1980M12,Casement,Millimetres,11.5,1980-12
15829,Most Rainfall in a Day,1980M12,Claremorris,Millimetres,23.3,1980-12
15830,Most Rainfall in a Day,1980M12,Clones,Millimetres,17.2,1980-12
15831,Most Rainfall in a Day,1980M12,Cork airport,Millimetres,27.5,1980-12
15832,Most Rainfall in a Day,1980M12,Dublin airport,Millimetres,11.4,1980-12
15833,Most Rainfall in a Day,1980M12,Galway,Millimetres,15.9,1980-12
15834,Most Rainfall in a Day,1980M12,Kilkenny,Millimetres,16.6,1980-12
15835,Most Rainfall in a Day,1980M12,Malin head,Millimetres,16.0,1980-12
15836,Most Rainfall in a Day,1980M12,Mullingar,Millimetres,15.9,1980-12
15837,Most Rainfall in a Day,1980M12,Roches Point,Millimetres,22.2,1980-12
15838,Most Rainfall in a Day,1980M12,Rosslare,Millimetres,14.3,1980-12
15839,Most Rainfall in a Day,1980M12,Shannon airport,Millimetres,20.1,1980-12
15840,Most Rainfall in a Day,1981M01,Belmullet,Millimetres,18.6,1981-01
15841,Most Rainfall in a Day,1981M01,Birr,Millimetres,9.7,1981-01
15842,Most Rainfall in a Day,1981M01,Valentia Observatory,Millimetres,11.1,1981-01
15843,Most Rainfall in a Day,1981M01,Casement,Millimetres,6.2,1981-01
15844,Most Rainfall in a Day,1981M01,Claremorris,Millimetres,11.3,1981-01
15845,Most Rainfall in a Day,1981M01,Clones,Millimetres,9.7,1981-01
15846,Most Rainfall in a Day,1981M01,Cork airport,Millimetres,8.4,1981-01
15847,Most Rainfall in a Day,1981M01,Dublin airport,Millimetres,8.1,1981-01
15848,Most Rainfall in a Day,1981M01,Galway,Millimetres,14.0,1981-01
15849,Most Rainfall in a Day,1981M01,Kilkenny,Millimetres,9.9,1981-01
15850,Most Rainfall in a Day,1981M01,Malin head,Millimetres,22.3,1981-01
15851,Most Rainfall in a Day,1981M01,Mullingar,Millimetres,13.8,1981-01
15852,Most Rainfall in a Day,1981M01,Roches Point,Millimetres,7.7,1981-01
15853,Most Rainfall in a Day,1981M01,Rosslare,Millimetres,8.0,1981-01
15854,Most Rainfall in a Day,1981M01,Shannon airport,Millimetres,14.9,1981-01
15855,Most Rainfall in a Day,1981M02,Belmullet,Millimetres,23.5,1981-02
15856,Most Rainfall in a Day,1981M02,Birr,Millimetres,18.5,1981-02
15857,Most Rainfall in a Day,1981M02,Valentia Observatory,Millimetres,27.2,1981-02
15858,Most Rainfall in a Day,1981M02,Casement,Millimetres,12.4,1981-02
15859,Most Rainfall in a Day,1981M02,Claremorris,Millimetres,22.9,1981-02
15860,Most Rainfall in a Day,1981M02,Clones,Millimetres,18.0,1981-02
15861,Most Rainfall in a Day,1981M02,Cork airport,Millimetres,18.2,1981-02
15862,Most Rainfall in a Day,1981M02,Dublin airport,Millimetres,11.9,1981-02
15863,Most Rainfall in a Day,1981M02,Galway,Millimetres,17.6,1981-02
15864,Most Rainfall in a Day,1981M02,Kilkenny,Millimetres,19.2,1981-02
15865,Most Rainfall in a Day,1981M02,Malin head,Millimetres,24.1,1981-02
15866,Most Rainfall in a Day,1981M02,Mullingar,Millimetres,20.5,1981-02
15867,Most Rainfall in a Day,1981M02,Roches Point,Millimetres,13.6,1981-02
15868,Most Rainfall in a Day,1981M02,Rosslare,Millimetres,18.6,1981-02
15869,Most Rainfall in a Day,1981M02,Shannon airport,Millimetres,22.0,1981-02
15870,Most Rainfall in a Day,1981M03,Belmullet,Millimetres,21.3,1981-03
15871,Most Rainfall in a Day,1981M03,Birr,Millimetres,15.0,1981-03
15872,Most Rainfall in a Day,1981M03,Valentia Observatory,Millimetres,34.6,1981-03
15873,Most Rainfall in a Day,1981M03,Casement,Millimetres,20.7,1981-03
15874,Most Rainfall in a Day,1981M03,Claremorris,Millimetres,23.8,1981-03
15875,Most Rainfall in a Day,1981M03,Clones,Millimetres,17.3,1981-03
15876,Most Rainfall in a Day,1981M03,Cork airport,Millimetres,29.0,1981-03
15877,Most Rainfall in a Day,1981M03,Dublin airport,Millimetres,20.0,1981-03
15878,Most Rainfall in a Day,1981M03,Galway,Millimetres,18.0,1981-03
15879,Most Rainfall in a Day,1981M03,Kilkenny,Millimetres,17.9,1981-03
15880,Most Rainfall in a Day,1981M03,Malin head,Millimetres,15.8,1981-03
15881,Most Rainfall in a Day,1981M03,Mullingar,Millimetres,13.2,1981-03
15882,Most Rainfall in a Day,1981M03,Roches Point,Millimetres,28.0,1981-03
15883,Most Rainfall in a Day,1981M03,Rosslare,Millimetres,48.9,1981-03
15884,Most Rainfall in a Day,1981M03,Shannon airport,Millimetres,16.7,1981-03
15885,Most Rainfall in a Day,1981M04,Belmullet,Millimetres,14.7,1981-04
15886,Most Rainfall in a Day,1981M04,Birr,Millimetres,4.3,1981-04
15887,Most Rainfall in a Day,1981M04,Valentia Observatory,Millimetres,6.2,1981-04
15888,Most Rainfall in a Day,1981M04,Casement,Millimetres,21.5,1981-04
15889,Most Rainfall in a Day,1981M04,Claremorris,Millimetres,15.7,1981-04
